book,plate_id,selection_status,approval_status,notes
1,odyssey-book-01-athena-v2-concept,provisional-print-review,pending,"Higher-resolution opening candidate; final art-direction approval pending."
2,odyssey-book-02-ody-02-v1-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 2."
3,odyssey-book-03-pylos-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 3."
4,odyssey-book-04-sparta-memory-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 4."
5,odyssey-book-05-raft-v2-concept,provisional-print-review,pending,"Newer portrait source selected over the earlier raft candidate."
6,odyssey-book-06-nausicaa-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 6."
7,odyssey-book-07-arete-palace-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 7."
8,odyssey-book-08-demodocus-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 8."
9,odyssey-book-09-polyphemus-escape-concept,provisional-print-review,pending,"Original source selected rather than its earlier placement enlargement."
10,odyssey-book-10-moly-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 10."
11,odyssey-book-11-tiresias-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 11."
12,odyssey-book-12-sirens-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 12."
13,odyssey-book-13-return-concept,provisional-print-review,pending,"Return-arc threshold candidate; exact caption approval pending."
14,odyssey-book-14-eumaeus-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 14."
15,odyssey-book-15-return-omen-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 15."
16,odyssey-book-16-father-son-concept,provisional-print-review,pending,"Return-arc recognition candidate; exact caption approval pending."
17,odyssey-book-17-argos-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 17."
18,odyssey-book-18-irus-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 18."
19,odyssey-book-19-penelope-question-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 19."
20,odyssey-book-20-omen-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 20."
21,odyssey-book-21-bow-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 21."
22,odyssey-book-22-hall-concept,provisional-print-review,pending,"Existing hall candidate; final art-direction approval pending."
23,odyssey-book-23-penelope-bed-concept,provisional-print-review,pending,"Return-arc close; final art-direction approval pending."
24,odyssey-book-24-peace-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 24."
