epic,book,passage,working_title,creator,source_type,model_version,prompt_file,generated_on,reference_ids,curation_status,final_file,credit_line,notes
Iliad,1,"1.1–1.16",Apollo descends upon the Achaean camp,CastaliaInstitute,generated,"Built-in image generation; version not exposed",assets/generated/prompts/iliad-book-01-apollo-v1.md,2026-09-02,,concept-review,assets/generated/iliad/book-01-apollo-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1050 × 1498 px; approximately 158 dpi at 6.625 × 10.25 in; comic-size concept candidate; regenerate/upscale before print approval."
Odyssey,1,"1.1–1.21",Athena arrives at the threshold of Odysseus's household,CastaliaInstitute,generated,"Built-in image generation; version not exposed",assets/generated/prompts/odyssey-book-01-athena-v1.md,2026-09-02,,concept-review,assets/generated/odyssey/book-01-athena-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1054 × 1492 px; approximately 155 dpi at 6.625 × 10.25 in; comic-size concept candidate; regenerate/upscale before print approval."
Iliad,1,"1.1–1.16",Apollo descends upon the Achaean camp,CastaliaInstitute,generated,"Built-in image generation; v2 candidate",assets/generated/prompts/iliad-book-01-apollo-v2.md,2026-09-02,,concept-review,assets/generated/iliad/book-01-apollo-v2.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","2100 × 3000 px; approximately 300 dpi at 6.625 × 10.25 in; comic-size concept candidate; native print master and profile conversion pending."
Odyssey,1,"1.1–1.21",Athena arrives at the threshold of Odysseus's household,CastaliaInstitute,generated,"Built-in image generation; v2 candidate",assets/generated/prompts/odyssey-book-01-athena-v2.md,2026-09-02,,concept-review,assets/generated/odyssey/book-01-athena-v2.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","2100 × 3000 px; approximately 300 dpi at 6.625 × 10.25 in; comic-size concept candidate; native print master and profile conversion pending."
Iliad,2,"2.1–2.877",The false dream and mustering of the Achaean host,CastaliaInstitute,generated,"Built-in image generation; ILI-02 v1 concept candidate",assets/generated/prompts/iliad-book-02-ili-02-v1.md,2026-09-02,,concept-review,assets/generated/iliad/book-02-ili-02-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","2100 × 3000 px; approximately 300 dpi at 6.625 × 10.25 in; comic-size concept-review candidate; native print master, profile conversion, and final approval pending; SHA-256 11979a277765bc8dc994ee8f342ebdf18e4c8761f57e0141c5e0d26717831f21."
Odyssey,2,"2.1–2.434",Telemachus's assembly and departure,CastaliaInstitute,generated,"Built-in image generation; ODY-02 v1 concept candidate",assets/generated/prompts/odyssey-book-02-ody-02-v1.md,2026-09-02,,concept-review,assets/generated/odyssey/book-02-ody-02-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","2100 × 3000 px; approximately 300 dpi at 6.625 × 10.25 in; comic-size concept-review candidate; native print master, profile conversion, and final approval pending; SHA-256 ec4e3ac6b4be4e9b2ecc7f668a929ca82b516d13f12e2a324b252a4cf4ff3a5b."
Iliad,11,"11.618–11.848",Patroclus tends Eurypylus and carries the crisis toward Achilles,CastaliaInstitute,generated,"Built-in image generation; ILI-11 v1 concept candidate",assets/generated/prompts/iliad-book-11-patroclus-eurypylus-v1.md,2026-09-02,,concept-review,assets/generated/iliad/book-11-patroclus-eurypylus-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1050 × 1498 px; approximately 150 dpi at 6.625 × 10.25 in; comic-size concept-review candidate; native print master, profile conversion, and final approval pending; SHA-256 18978c055749ffdec4876f76d6591a573d69f655ccc8e684da062c5181c14da3."
Odyssey,9,"9.1–9.566",Odysseus and his companions escape the Cyclops beneath the rams,CastaliaInstitute,generated,"Built-in image generation; version not exposed",assets/generated/prompts/odyssey-book-09-polyphemus-escape-v1.md,2026-09-02,,concept-review,assets/generated/odyssey/book-09-polyphemus-escape-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1050 × 1498 px; approximately 150 dpi at 6.625 × 10.25 in; comic-size concept-review candidate; native print master, profile conversion, and final approval pending; SHA-256 6830d7c703ccdd54ba6faf33c0a9abc73a34cfbaacc0295de82c53108cf853ea."
Iliad,24,"24.1–24.804",Priam enters Achilles’ shelter and clasps his knees,CastaliaInstitute,generated,"Built-in image generation; version not exposed",assets/generated/prompts/iliad-book-24-priam-achilles-v1.md,2026-09-02,,concept-review,assets/generated/iliad/book-24-priam-achilles-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1049 × 1499 px; approximately 150 dpi at 6.625 × 10.25 in; comic-size concept-review candidate; native print master, profile conversion, and final approval pending; SHA-256 086edfbd4669873fa76ccd567b8728ef326eaa5a4db095a9d9766672205ef85a."
Odyssey,22,"22.1–22.501",Odysseus and Telemachus reclaim the hall,CastaliaInstitute,generated,"Built-in image generation; version not exposed",assets/generated/prompts/odyssey-book-22-hall-v1.md,2026-09-02,,concept-review,assets/generated/odyssey/book-22-hall-v1.png,"Original plate candidate by CastaliaInstitute; not by William Blake.","1122 × 1402 px; approximately 160 dpi at 6.625 × 10.25 in; comic-size concept-review candidate; native print master, profile conversion, and final approval pending; SHA-256 9beb4be8ed49e579185bca7cd0b6d1fc7f5969bcf52147a09ae4a275fe24334c."
