book,plate_id,selection_status,approval_status,notes
1,iliad-book-01-apollo-v2-concept,provisional-print-review,pending,"Higher-resolution opening candidate; exact passage and final art-direction approval pending."
2,iliad-book-02-ili-02-v1-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 2."
3,iliad-book-03-helen-walls-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 3."
4,iliad-book-04-broken-oath-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 4."
5,iliad-book-05-diomedes-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 5."
6,iliad-book-06-hector-family-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 6."
7,iliad-book-07-hector-ajax-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 7."
8,iliad-book-08-zeus-balance-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 8."
9,iliad-book-09-embassy-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 9."
10,iliad-book-10-night-raid-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 10."
11,iliad-book-11-patroclus-eurypylus-v2-concept,provisional-print-review,pending,"New original source selected over the earlier enlarged placement derivative."
12,iliad-book-12-wall-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 12."
13,iliad-book-13-poseidon-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 13."
14,iliad-book-14-hera-strategy-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 14."
15,iliad-book-15-zeus-wakes-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 15."
16,iliad-book-16-patroclus-v2-concept,provisional-print-review,pending,"Central Patroclus candidate; tighter passage lock still required."
17,iliad-book-17-menelaus-patroclus-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 17."
18,iliad-book-18-shield-concept,provisional-print-review,pending,"Original shield candidate selected instead of the historical Flaxman/Piroli scan."
19,iliad-book-19-reconciliation-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 19."
20,iliad-book-20-divided-gods-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 20."
21,iliad-book-21-scamander-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 21."
22,iliad-book-22-hector-gate-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 22."
23,iliad-book-23-funeral-games-concept,provisional-print-review,pending,"Only original candidate currently recorded for Book 23."
24,iliad-book-24-priam-achilles-v2-concept,provisional-print-review,pending,"New original source selected over the earlier enlarged placement derivative."
